assay_name,file,submitted_column_header,transformed_column_header,unit,definition
western blot,Roy_Brain_WesternBlot_TRANSFORMED.csv,Caspase-1,caspase1_relative_density,arbitrary_units,"Relative density of Caspase-1 normalized to actin. 'arbitrary_units' are relative measurements without a standardized physical reference, used when the absolute value is less important than the comparison between samples. They represent quantities on a scale defined by the specific instrument, protocol, or experiment rather than universal physical units. In this case, it's used in place of 'relative density units'  in order to maintain database consistency."
western blot,Roy_Brain_WesternBlot_TRANSFORMED.csv,ASC,asc_relative_density,arbitrary_units,"Relative density of ASC normalized to actin. 'arbitrary_units' are relative measurements without a standardized physical reference, used when the absolute value is less important than the comparison between samples. They represent quantities on a scale defined by the specific instrument, protocol, or experiment rather than universal physical units. In this case, it's used in place of 'relative density units'  in order to maintain database consistency."
western blot,Roy_Brain_WesternBlot_TRANSFORMED.csv,IL-1b,il1beta_relative_density,arbitrary_units,"Relative density of IL-1β normalized to actin. 'arbitrary_units' are relative measurements without a standardized physical reference, used when the absolute value is less important than the comparison between samples. They represent quantities on a scale defined by the specific instrument, protocol, or experiment rather than universal physical units. In this case, it's used in place of 'relative density units'  in order to maintain database consistency."
western blot,Roy_Brain_WesternBlot_TRANSFORMED.csv,Actin,actin_integrated_density,arbitrary_units,"Raw densitometric measurements for the β-actin bands. 'arbitrary_units' are relative measurements without a standardized physical reference, used when the absolute value is less important than the comparison between samples. They represent quantities on a scale defined by the specific instrument, protocol, or experiment rather than universal physical units. In this case, it's used in place of 'relative density units'  in order to maintain database consistency."
electrochemiluminescence,"Roy_ECLIA_Brain_TRANSFORMED.csv, Roy_ECLIA_Cortex_TRANSFORMED.csv, Roy_ECLIA_Hippocampus_TRANSFORMED.csv",TNF-α,tnf_alpha_concentration_normalized,picogram_per_milligram,"Normalized concentration of Tumor Necrosis Factor alpha (TNF-α), measured by ECLIA and normalized to total protein concentration. "
electrochemiluminescence,"Roy_ECLIA_Brain_TRANSFORMED.csv, Roy_ECLIA_Cortex_TRANSFORMED.csv, Roy_ECLIA_Hippocampus_TRANSFORMED.csv",IL-10,il10_concentration_normalized,picogram_per_milligram,"Normalized concentration of Interleukin 10 (IL-10), an anti-inflammatory cytokine, measured by ECLIA and normalized to total protein concentration. "
electrochemiluminescence,"Roy_ECLIA_Brain_TRANSFORMED.csv, Roy_ECLIA_Cortex_TRANSFORMED.csv, Roy_ECLIA_Hippocampus_TRANSFORMED.csv",IFN-γ,ifn_gamma_concentration_normalized,picogram_per_milligram,"Normalized concentration of Interferon gamma (IFN-γ), measured by ECLIA and normalized to total protein concentration. "
electrochemiluminescence,"Roy_ECLIA_Brain_TRANSFORMED.csv, Roy_ECLIA_Cortex_TRANSFORMED.csv, Roy_ECLIA_Hippocampus_TRANSFORMED.csv",IL-5,il5_concentration_normalized,picogram_per_milligram,"Normalized concentration of Interleukin 5 (IL-5), measured by ECLIA and normalized to total protein concentration. "
electrochemiluminescence,"Roy_ECLIA_Brain_TRANSFORMED.csv, Roy_ECLIA_Cortex_TRANSFORMED.csv, Roy_ECLIA_Hippocampus_TRANSFORMED.csv",IL-6,il6_concentration_normalized,picogram_per_milligram,"Normalized concentration of Interleukin 6 (IL-6), a pro-inflammatory cytokine, measured by ECLIA and normalized to total protein concentration. "
electrochemiluminescence,"Roy_ECLIA_Brain_TRANSFORMED.csv, Roy_ECLIA_Cortex_TRANSFORMED.csv, Roy_ECLIA_Hippocampus_TRANSFORMED.csv",IL-12p70,il12p70_concentration_normalized,picogram_per_milligram,"Normalized concentration of Interleukin 12p70 (IL-12p70), the bioactive heterodimer of IL-12, measured by ECLIA and normalized to total protein concentration. "
electrochemiluminescence,Roy_ECLIA_Brain_TRANSFORMED.csv,IL-2,il2_concentration_normalized,picogram_per_milligram,"Normalized concentration of Interleukin 2 (IL-2), an anti-inflammatory cytokine, measured by ECLIA and normalized to total protein concentration. "
